Subcorpus	Term	Hits	Year	LetterID	Sender	Recipient
female	queen...	1	1680	HATTON_071	A2MONTAGUE	FHATTON
female	queen...	1	1683	ROYAL4_013	ANNE	F2APSLEY
female	queen...	1	1690	HATTON2_049	AFINCH	CR3HATTON
female	queen...	1	1705	CLAVERI_160	CCLAVERING	JCLAVERING
female	queen...	1	1705	WENTWO2_001	IWENTWORTH	TWENTWORTH
female	queen...	1	1705	WENTWO2_003	IWENTWORTH	TWENTWORTH
female	queen...	3	1705	WENTWO2_009	IWENTWORTH	TWENTWORTH
female	queen...	2	1705	WENTWO2_012	IWENTWORTH	TWENTWORTH
female	queen...	1	1706	WENTWO2_018	IWENTWORTH	TWENTWORTH
female	queen...	1	1706	WENTWO2_021	IWENTWORTH	TWENTWORTH
female	queen...	2	1708	CLAVERI_002	ACLAVERING	JCLAVERING
female	queen...	1	1708	CLAVERI_003	ACLAVERING	JCLAVERING
female	queen...	1	1708	CLAVERI_006	ACLAVERING	JCLAVERING
female	queen...	1	1708	CLAVERI_009	ACLAVERING	JCLAVERING
female	queen...	1	1708	WENTWO2_026	IWENTWORTH	TWENTWORTH
female	queen...	1	1709	CLAVERI_011	ACLAVERING	JCLAVERING
female	queen...	1	1709	CLAVERI_012	ACLAVERING	JCLAVERING
female	queen...	1	1709	CLAVERI_014	ACLAVERING	JCLAVERING
female	queen...	1	1709	CLAVERI_022	ACLAVERING	JCLAVERING
female	queen...	1	1709	GIFFAR2_019	EPERCY	MTEMPLE
female	queen...	1	1710	CLAVERI_026	ACLAVERING	JCLAVERING
female	queen...	3	1710	CLAVERI_028	ACLAVERING	JCLAVERING
female	queen...	1	1710	CLAVERI_031	ACLAVERING	JCLAVERING
female	queen...	1	1710	CLAVERI_032	ACLAVERING	JCLAVERING
female	queen...	2	1710	CLAVERI_040	ACLAVERING	JCLAVERING
female	queen...	1	1710	WENTWO2_043	IWENTWORTH	TWENTWORTH
female	queen...	1	1710	WENTWO2_045	IWENTWORTH	TWENTWORTH
female	queen...	1	1711	MONTAGU_014	MMONTAGU	EWORTLEY
female	queen...	1	1711	MONTAGU_016	MMONTAGU	EWORTLEY
female	queen...	1	1711	MONTAGU_017	MMONTAGU	EWORTLEY
female	queen...	1	1711	WENTWO2_048	AWENTWORTH	TWENTWORTH
female	queen...	2	1711	WENTWO2_049	AWENTWORTH	TWENTWORTH
female	queen...	1	1711	WENTWO2_052	AWENTWORTH	TWENTWORTH
female	queen...	3	1711	WENTWO2_055	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	MONTAGU_025	MMONTAGU	PMASSINGBERD
female	queen...	3	1712	WENTWO2_059	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	WENTWO2_061	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	WENTWO2_062	AWENTWORTH	TWENTWORTH
female	queen...	2	1712	WENTWO2_065	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	WENTWO2_070	AWENTWORTH	TWENTWORTH
female	queen...	2	1712	WENTWO2_071	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	WENTWO2_075	AWENTWORTH	TWENTWORTH
female	queen...	1	1712	WENTWO2_079	AWENTWORTH	TWENTWORTH
female	queen...	2	1712	WENTWO2_080	AWENTWORTH	TWENTWORTH
female	queen...	2	1712	WENTWO2_081	AWENTWORTH	TWENTWORTH
female	queen...	1	1713	WENTWO2_086	AWENTWORTH	TWENTWORTH
female	queen...	1	1713	WENTWO2_088	AWENTWORTH	TWENTWORTH
female	queen...	2	1713	WENTWO2_089	AWENTWORTH	TWENTWORTH
female	queen...	3	1713	WENTWO2_091	AWENTWORTH	TWENTWORTH
female	queen...	1	1725	MONTAGU_071	MMONTAGU	FERSKINE
